State,Underweight,Normal Weight,Overweight,Obese
"Nationwide (States, DC, and Territories)",1.8,34.2,35.8,28.1
Nationwide (States and DC),1.8,34.2,35.8,27.6
Alabama,1.7,30.6,34.8,33
Alaska,0.9,34.4,39.1,25.7
Arizona,2.3,35.7,36,26
Arkansas,1.8,29.5,34.2,34.5
California,1.9,37.8,35.3,25
Colorado,2.3,42,35.2,20.5
Connecticut,1.7,36.1,36.7,25.6
Delaware,1.5,32.5,39.1,26.9
District of Columbia,2.2,46,30,21.9
Florida,1.5,36.4,36.9,25.2
Georgia,2,33.3,35.5,29.1
Guam,2.9,35.6,32.4,29.1
Hawaii,2.7,41.2,32.5,23.6
Idaho,1.8,35.7,35.8,26.8
Illinois,2.2,33.8,35.8,28.1
Indiana,1.7,32.8,34.1,31.4
Iowa,1.8,33.5,34.3,30.4
Kansas,2,32.4,35.7,29.9
Kentucky,2,31.1,35.6,31.3
Louisiana,1.9,28.5,34.8,34.7
Maine,1.6,34.3,35.8,28.4
Maryland,2,34.2,36.2,27.6
Massachusetts,2.1,39.2,35.9,22.9
Michigan,1.6,32.8,34.6,31.1
Minnesota,1.6,35.4,37.3,25.7
Mississippi,1.8,29.3,34.3,34.6
Missouri,1.9,32.4,36.2,29.6
Montana,1.5,37.1,37,24.3
Nebraska,1.7,33.3,36.4,28.6
Nevada,2.7,34.8,36.3,26.2
New Hampshire,1.4,36.5,34.8,27.3
New Jersey,1.9,36.5,37,24.6
New Mexico,2.2,35,35.7,27.1
New York,2.6,36.9,37,23.6
North Carolina,1.8,32.4,36.3,29.6
North Dakota,1.8,32,36.6,29.7
Ohio,1.7,33,35.2,30.1
Oklahoma,1.8,30.4,35.6,32.2
Oregon,1.7,37.2,33.8,27.3
Pennsylvania,1.7,33.3,35.9,29.1
Puerto Rico,2.1,31.7,37.8,28.4
Rhode Island,1.6,35.5,37.2,25.7
South Carolina,1.5,32.4,34.5,31.6
South Dakota,1.5,32.4,37.9,28.1
Tennessee,2,32.7,34.2,31.1
Texas,1.8,33.2,35.9,29.2
Utah,1.8,40.4,33.5,24.3
Vermont,1.7,38,36.6,23.7
Virginia,2,34.4,36.2,27.4
Washington,1.8,36,35.4,26.8
West Virginia,1.7,30,34.5,33.8
Wisconsin,1.8,31.8,36.8,29.7
Wyoming,1.5,35.1,38.7,24.6
